player_rank,player,first_year,last_year,draft,team,league,games_played,games_started,rushing_attempts,total_yards,yards_per_attempt,rushing_td,yards_per_game
6,Russell Wilson,2012,2019,3-75,SEA,NFL,123,123,698,3922,5.62,19,31.9
7,Fran Tarkenton,1961,1978,3-29 5-34AFL,TOT,NFL,246,239,675,3674,5.44,32,14.9
8,Steve McNair,1995,2007,1-3,TOT,NFL,161,153,669,3590,5.37,37,22.3
9,Charley Trippi,1947,1955,1-1,CRD,NFL,99,76,687,3506,5.10,23,35.4
10,Donovan McNabb,1999,2011,1-2,TOT,NFL,167,161,616,3459,5.62,29,20.7
11,John Elway,1983,1998,1-1,DEN,NFL,234,231,774,3407,4.40,33,14.6
12,Tobin Rote,1950,1966,2-17,TOT,TOT,149,116,635,3128,4.93,37,21.0
13,Aaron Rodgers,2005,2019,1-24,GNB,NFL,177,170,601,3085,5.13,28,17.4
14,Kordell Stewart,1995,2005,2-60,TOT,NFL,125,87,560,2874,5.13,38,23.0
15,Jim Harbaugh,1987,2000,1-26,TOT,NFL,177,140,561,2787,4.97,18,15.7
16,Greg Landry,1968,1984,1-11,TOT,NFL,146,98,430,2655,6.17,21,18.2
17,Bobby Douglass,1969,1978,2-41,TOT,NFL,91,53,410,2654,6.47,22,29.2
18,Daunte Culpepper,1999,2009,1-11,TOT,NFL,105,100,514,2652,5.16,34,25.3
19,Alex Smith,2005,2018,1-1,TOT,NFL,166,161,570,2601,4.56,15,15.7
20,Bobby Layne,1948,1962,1-3,TOT,NFL,175,145,611,2451,4.01,25,14.0
21,Rich Gannon,1987,2004,4-98,TOT,NFL,157,132,521,2449,4.70,21,15.6
22,Mark Brunell,1994,2011,5-118,TOT,NFL,193,151,513,2421,4.72,15,12.5
23,Ryan Fitzpatrick,2005,2019,7-250,TOT,NFL,152,135,523,2348,4.49,18,15.4
24,Colin Kaepernick,2011,2016,2-36,SFO,NFL,69,58,375,2300,6.13,13,33.3
25,Roger Staubach,1969,1979,10-129 16-122AFL,DAL,NFL,131,114,410,2264,5.52,20,17.3
26,Terry Bradshaw,1970,1983,1-1,PIT,NFL,168,158,444,2257,5.08,32,13.4
27,Ken Anderson,1971,1986,3-67,CIN,NFL,192,172,397,2220,5.59,20,11.6
28,Archie Manning,1971,1984,1-2,TOT,NFL,151,139,384,2197,5.72,18,14.5
29,Steve Grogan,1975,1990,5-116,NWE,NFL,149,135,445,2176,4.89,35,14.6
30,Jeff Garcia,1999,2009,,TOT,NFL,125,116,468,2140,4.57,26,17.1
31,Jeff Blake,1992,2005,6-166,TOT,NFL,119,100,418,2027,4.85,14,17.0
32,Jake Plummer,1997,2006,2-42,TOT,NFL,143,136,428,1853,4.33,17,13.0
33,Ward Cuff,1937,1947,4-34,TOT,NFL,110,87,344,1851,5.38,7,16.8
34,Brett Favre,1991,2010,2-33,TOT,NFL,302,298,602,1844,3.06,14,6.1
35,Tyrod Taylor,2011,2019,6-180,TOT,NFL,68,46,330,1835,5.56,16,27.0
36,Joe Theismann,1974,1985,4-99,WAS,NFL,167,124,355,1815,5.11,17,10.9
37,Johnny Unitas,1956,1973,9-102,TOT,NFL,211,185,450,1777,3.95,13,8.4
38,Blake Bortles,2014,2019,1-3,TOT,NFL,78,73,283,1766,6.24,8,22.6
39,David Garrard,2002,2010,4-108,JAX,NFL,86,76,380,1746,4.59,17,20.3
40,Warren Moon,1984,2000,,TOT,NFL,208,203,543,1736,3.20,22,8.3
41,Robert Griffin,2012,2019,1-2,TOT,NFL,49,40,283,1684,5.95,10,34.4
42,Jay Cutler,2006,2017,1-11,TOT,NFL,153,153,386,1682,4.36,9,11.0
43,Joe Montana,1979,1994,3-82,TOT,NFL,192,164,457,1676,3.67,20,8.7
44,Lamar Jackson,2018,2019,1-32,RAV,NFL,28,19,287,1672,5.83,12,59.7
45,Vinny Testaverde,1987,2007,1-1,TOT,NFL,233,214,430,1661,3.86,15,7.1
46,Doug Flutie,1986,2005,11-285,TOT,NFL,92,66,338,1634,4.83,10,17.8
47,Jim McMahon,1982,1996,1-5,TOT,NFL,119,97,338,1631,4.83,16,13.7
48,Boomer Esiason,1984,1997,2-38,TOT,NFL,187,173,447,1598,3.57,7,8.5
49,Andrew Luck,2012,2018,1-1,CLT,NFL,86,86,332,1590,4.79,14,18.5
50,Dick Todd,1939,1948,5-38,WAS,NFL,79,25,368,1573,4.27,11,19.9
51,Aaron Brooks,2000,2006,4-131,TOT,NFL,93,90,362,1534,4.24,13,16.5
52,Babe Parilli,1952,1969,1-4,TOT,TOT,189,101,383,1522,3.97,23,8.1
53,Billy Kilmer,1961,1978,1-11 5-39AFL,TOT,NFL,170,125,362,1509,4.17,21,8.9
54,Jim Zorn,1976,1987,,TOT,NFL,140,106,322,1504,4.67,17,10.7
55,Frank Filchock,1938,1950,2-14,TOT,NFL,76,34,477,1478,3.10,7,19.4
56,Vince Young,2006,2011,1-3,TOT,NFL,60,50,282,1459,5.17,12,24.3
57,Bert Jones,1973,1982,1-2,TOT,NFL,102,96,247,1429,5.79,14,14.0
58,Marcus Mariota,2015,2019,1-2,OTI,NFL,62,61,242,1399,5.78,11,22.6
59,Jeff Hostetler,1985,1997,3-59,TOT,NFL,152,83,316,1391,4.40,17,9.2
60,Frank Ryan,1958,1970,5-55,TOT,NFL,126,87,310,1358,4.38,6,10.8
61,Ben Roethlisberger,2004,2019,1-11,PIT,NFL,218,216,470,1357,2.89,19,6.2
62,Ryan Tannehill,2012,2019,1-8,TOT,NFL,96,94,278,1338,4.81,9,13.9
63,Jim Plunkett,1971,1986,1-1,TOT,NFL,157,144,323,1337,4.14,14,8.5
64,Billy Wade,1954,1966,1-1,TOT,NFL,128,85,318,1334,4.19,24,10.4
65,David Carr,2002,2012,1-1,TOT,NFL,94,79,305,1328,4.35,9,14.1
66,Chris Chandler,1988,2004,3-76,TOT,NFL,180,152,371,1310,3.53,12,7.3
67,Bart Starr,1956,1971,17-200,GNB,NFL,196,157,247,1308,5.30,15,6.7
68,Roman Gabriel,1962,1977,1-2 1-1AFL,TOT,NFL,183,157,358,1304,3.64,30,7.1
69,Len Dawson,1957,1975,1-5,TOT,TOT,211,159,294,1293,4.40,9,6.1
70,Mike Phipps,1970,1981,1-3,TOT,NFL,119,71,254,1278,5.03,13,10.7
71,Frankie Albert,1946,1952,1-10,SFO,TOT,90,68,329,1272,3.87,27,14.1
72,Dave Krieg,1980,1998,,TOT,NFL,213,175,417,1261,3.02,13,5.9
73,Matt Ryan,2008,2019,1-3,ATL,NFL,185,185,406,1254,3.09,9,6.8
74,Phil Simms,1979,1993,1-7,NYG,NFL,164,159,349,1252,3.59,6,7.6
75,Y.A. Tittle,1948,1964,1-6,TOT,TOT,204,152,372,1245,3.35,39,6.1
76,Matt Hasselbeck,1999,2015,6-187,TOT,NFL,209,160,365,1231,3.37,8,5.9
77,Joe Ferguson,1973,1990,3-57,TOT,NFL,186,171,353,1217,3.45,11,6.5
78,Don Meredith,1960,1968,3-32,DAL,NFL,104,83,242,1216,5.02,15,11.7
79,Jason Campbell,2006,2014,1-25,TOT,NFL,90,79,240,1204,5.02,6,13.4
80,Andy Dalton,2011,2019,2-35,CIN,NFL,129,129,381,1199,3.15,21,9.3
81,John Brodie,1957,1973,1-3,SFO,NFL,201,158,235,1167,4.97,22,5.8
82,Dak Prescott,2016,2019,4-135,DAL,NFL,60,60,227,1166,5.14,21,19.4
83,Gene Ronzani,1933,1945,,CHI,NFL,78,34,260,1153,4.43,1,14.8
85,Jack Kemp,1957,1969,17-203,TOT,TOT,122,105,356,1150,3.23,40,9.4
86,Rodney Peete,1989,2004,6-141,TOT,NFL,104,87,270,1139,4.22,16,11.0
87,Rick Mirer,1993,2003,1-2,TOT,NFL,80,68,242,1130,4.67,9,14.1
88,Vince Evans,1977,1995,6-140,TOT,NFL,100,39,212,1129,5.33,14,11.3
89,Deshaun Watson,2017,2019,1-12,HTX,NFL,35,34,197,1120,5.69,12,32.0
90,Don Majkowski,1987,1996,10-255,TOT,NFL,90,57,248,1114,4.49,12,12.4
91,John Hadl,1962,1977,1-10 3-24AFL,TOT,TOT,224,166,351,1112,3.17,16,5.0
92,Josh McCown,2002,2019,3-81,TOT,NFL,102,76,248,1106,4.46,13,10.8
93,Keith Molesworth,1931,1937,,CHI,NFL,81,35,348,1105,3.18,8,13.6
94,Matthew Stafford,2009,2019,1-1,DET,NFL,149,149,316,1086,3.44,14,7.3
95,Josh Allen,2018,2019,1-7,BUF,NFL,24,23,182,1061,5.83,16,44.2
96,Jim Kelly,1986,1996,1-14,BUF,NFL,160,160,304,1049,3.45,7,6.6
84,Al Dorow,1954,1962,3-31,TOT,TOT,69,45,248,1150,4.64,16,16.7
97,Glenn Dobbs,1946,1949,1-3,TOT,AAFC,49,30,262,1039,3.97,12,21.2
98,Jack Concannon,1964,1975,2-16 1-1AFL,TOT,NFL,90,45,217,1026,4.73,12,11.4
99,Matt Cassel,2005,2018,7-230,TOT,NFL,108,81,268,1025,3.82,5,9.5
100,Wade Wilson,1981,1998,8-210,TOT,NFL,125,69,239,1025,4.29,9,8.2
101,Troy Aikman,1989,2000,1-1,DAL,NFL,165,165,327,1016,3.11,9,6.2
102,Tom Brady,2000,2019,6-199,NWE,NFL,281,279,598,1015,1.70,22,3.6
103,Jameis Winston,2015,2019,1-1,TAM,NFL,68,66,236,1014,4.30,9,14.9
104,Bob Griese,1967,1980,1-4,MIA,TOT,161,151,261,994,3.81,7,6.2
105,Tim Tebow,2010,2012,1-25,TOT,NFL,35,16,197,989,5.02,12,28.3
106,Brad Smith,2006,2014,4-103,TOT,NFL,127,24,134,972,7.25,4,7.7
107,Neil Lomax,1981,1988,2-33,CRD,NFL,108,101,222,969,4.36,10,9.0
108,Ed Brown,1954,1965,6-68,TOT,NFL,154,96,265,960,3.62,14,6.2
109,Jon Kitna,1997,2011,,TOT,NFL,141,124,313,956,3.05,11,6.8
